title,abstract,biomimicry
A Cultured Greigite-Producing Magnetotactic Bacterium in a Novel Group of Sulfate-Reducing Bacteria,"The crystal structure of biomineralized magnetic nanocrystals depends on environmental and genetic factors. Magnetotactic bacteria contain magnetosomes—intracellular, membrane-bounded, magnetic nanocrystals of magnetite (Fe3O4) or greigite (Fe3S4)—that cause the bacteria to swim along geomagnetic field lines. We isolated a greigite-producing magnetotactic bacterium from a brackish spring in Death Valley National Park, California, USA, strain BW-1, that is able to biomineralize greigite and magnetite depending on culture conditions. A phylogenetic comparison of BW-1 and similar uncultured greigite- and/or magnetite-producing magnetotactic bacteria from freshwater to hypersaline habitats shows that these organisms represent a previously unknown group of sulfate-reducing bacteria in the Deltaproteobacteria. Genomic analysis of BW-1 reveals the presence of two different magnetosome gene clusters, suggesting that one may be responsible for greigite biomineralization and the other for magnetite.",TRUE
A dinoflagellate exploits toxins to immobilize prey prior to ingestion,"Toxins produced by the harmful algal bloom (HAB) forming, mixotrophic dinoflagellate Karlodinium veneficum have long been associated with fish kills. To date, the perceived ecological role for toxins has been relief from grazing pressures. Here, we demonstrate that karlotoxins also serve as a predation instrument. Using high-speed holographic microscopy, we measure the swimming behavior of several toxic and nontoxic strains of K. veneficum and their prey, Storeatula major, within dense suspensions. The selected strains produce toxins with varying potency and dosages, including a nontoxic one. Results clearly show that mixing the prey with the predatory, toxic strains causes prey immobilization at rates that are consistent with the karlotoxins’ potency and dosage. Even prey cells that continue swimming slow down after exposure to toxic predators. The swimming characteristics of predators vary substantially in pure suspensions, as quantified by their velocity, radii of helical trajectories, and direction of helical rotation. When mixed with prey, all toxic strains that are involved in predation slow down. Furthermore, they substantially reduced their predominantly vertical migration, presumably to remain in the vicinity of their prey. Conversely, the nontoxic control strain does not alter its swimming and does not affect prey behavior. In separate experiments, we show that exposing prey to exogenous toxins also causes prey immobilization at rates consistent with potency. Clearly, the toxic predatory strains use karlotoxins as a means of stunning their prey, before ingesting it. These findings add a substantiated critical understanding for why some HAB species produce such complex toxin molecules.",TRUE
A dynamic broadband reflector built from microscopic silica spheres in the ‘disco’ clam Ctenoides ales,"The ‘disco’ or ‘electric’ clam Ctenoides ales (Limidae) is the only species of bivalve known to have a behaviourally mediated photic display. This display is so vivid that it has been repeatedly confused for bioluminescence, but it is actually the result of scattered light. The flashing occurs on the mantle lip, where electron microscopy revealed two distinct tissue sides: one highly scattering side that contains dense aggregations of spheres composed of silica, and one highly absorbing side that does not. High-speed video confirmed that the two sides act in concert to alternate between vivid broadband reflectance and strong absorption in the blue region of the spectrum. Optical modelling suggests that the diameter of the spheres is nearly optimal for scattering visible light, especially at shorter wavelengths which predominate in their environment. This simple mechanism produces a striking optical effect that may function as a signal.",TRUE
A finite element simulation scheme for biological muscular hydrostats.,"An explicit finite element scheme is developed for biological muscular hydrostats such as squid tentacles, octopus arms and elephant trunks. The scheme is implemented by embedding muscle fibers in finite elements. In any given element, the fiber orientation can be assigned arbitrarily and multiple muscle directions can be simulated. The mechanical stress in each muscle fiber is the sum of active and passive parts. The active stress is taken to be a function of activation state, muscle fiber shortening velocity and fiber strain; while the passive stress depends only on the strain. This scheme is tested by simulating extension of a squid tentacle during prey capture; our numerical predictions are in close correspondence with existing experimental results. It is shown that the present finite element scheme can successfully simulate more complex behaviors such as torsion of a squid tentacle and the bending behavior of octopus arms or elephant trunks.",TRUE
A functional interpretation of cilia and mucocyte distributions on the abfrontal surface of bivalve gills,"Abstract The lack of fundamental data on the abfrontal surface of bivalve gills has prompted a comparative study of cilia and mucocytes on this surface, using scanning electron microscopy and histology on eight species of bivalves, representing seven families and the four major gill types: Mytilus edulis, Modiolus modiolus, Arca zebra, Placopecten magellanicus, Crassostrea virginica, Spisula solidissima, Mercenaria mercenaria, and Mya arenaria. Abfrontal cilia and mucocytes were found in all species studied, with types and densities differing within and between gill types. The three species of homorhabdic filibranchs presented different densities of abfrontal cilia and mucocytes, from very dense in M. edulis to sparse in A. zebra. The heterorhabdic gills had intermediate cilia and mucocyte densities, with highest concentrations of both abfrontal cilia and mucocytes on the principal filaments. The eulamellibranchs showed low ciliary densities together with high mucocyte densities, especially in S. solidissima, where the abfrontal mucocytes were glandular. These results indicate that: (1) the abfrontal surface is a vestigial mucociliary surface; (2) the abfrontal surface cannot participate in water pumping in most species, due to low ciliary densities; and (3) species with high densities of abfrontal mucocytes could utilize abfrontal mucus to reduce drag, especially in the highly fused gills, such as those of the eulamellibranchs. The differing distributions of abfrontal cilia and mucocytes may reflect different selective pressures acting on the gills within the various taxa.",TRUE
A honey bee odorant receptor for the queen substance 9-oxo-2-decenoic acid,"By using a functional genomics approach, we have identified a honey bee [Apis mellifera (Am)] odorant receptor (Or) for the queen substance 9-oxo-2-decenoic acid (9-ODA). Honey bees live in large eusocial colonies in which a single queen is responsible for reproduction, several thousand sterile female worker bees complete a myriad of tasks to maintain the colony, and several hundred male drones exist only to mate. The “queen substance” [also termed the queen retinue pheromone (QRP)] is an eight-component pheromone that maintains the queen's dominance in the colony. The main component, 9-ODA, acts as a releaser pheromone by attracting workers to the queen and as a primer pheromone by physiologically inhibiting worker ovary development; it also acts as a sex pheromone, attracting drones during mating flights. However, the extent to which social and sexual chemical messages are shared remains unresolved. By using a custom chemosensory-specific microarray and qPCR, we identified four candidate sex pheromone Ors (AmOr10, -11, -18, and -170) from the honey bee genome based on their biased expression in drone antennae. We assayed the pheromone responsiveness of these receptors by using Xenopus oocytes and electrophysiology. AmOr11 responded specifically to 9-ODA (EC50 = 280 ± 31 nM) and not to any of the other seven QRP components, other social pheromones, or floral odors. We did not observe any responses of the other three Ors to any of the eight QRP pheromone components, suggesting 9-ODA is the only QRP component that also acts as a long-distance sex pheromone.",TRUE
"A lightweight, biological structure with tailored stiffness: The feather vane.","UNLABELLEDThe flying feathers of birds are keratinous appendages designed for maximum performance with a minimum weight penalty. Thus, their design contains ingenious combinations of components that optimize lift, stiffness, aerodynamics, and damage resistance. This design involves two main parts: a central shaft that prescribes stiffness and lateral vanes which allows for the capture of air. Within the feather vane, barbs branch from the shaft and barbules branch from barbs, forming a flat surface which ensures lift. Microhooks at the end of barbules hold barbs tightly together, providing the close-knit, unified structure of the feather vane and enabling a repair of the structure through the reattachment of un-hooked junctions. Both the shaft and barbs are lightweight biological structures constructed of keratin using the common motif of a solid shell and cellular interior. The cellular core increases the resistance to buckling with little added weight. Here we analyze the detailed structure of the feather barb and, for the first time, explain its flexural stiffness in terms of the mechanics of asymmetric foam-filled beams subjected to bending. The results are correlated and validated with finite element modeling. We compare the flexure of single barbs as well as arrays of barbs and find that the interlocking adherence of barbs to one another enables a more robust structure due to minimized barb rotation during deflection. Thus, the flexure behavior of the feather vane can be tailored by the adhesive hooking between barbs, creating a system that mitigates damage. A simplified three-dimensional physical model for this interlocking mechanism is constructed by additive manufacturing. The exceptional architecture of the feather vane will motivate the design of bioinspired structures with tailored and unique properties ranging from adhesives to aerospace materials.STATEMENT OF SIGNIFICANCEDespite its importance to bird flight, literature characterizing the feather vane is extremely limited. The feather vane is composed of barbs that branch from the main shaft (rachis) and barbules that branch from barbs. In this study, the flexural behavior of the feather barb and the role of barbule connections in reinforcing the feather vane are quantitatively investigated for the first time, both experimentally and theoretically. Through the performed experiments, structure-function relationships within the feather vane are uncovered. Additionally, in the proposed model the sophisticated structure of the barbs and the interlocking mechanism of the feather vane are simplified to understand these processes in order to engineer new lightweight structures and adhesives.",TRUE
A Literal Elytral Rainbow: Tunable Structural Colors Using Single Diamond Biophotonic Crystals in Pachyrrhynchus congestus Weevils.,"The brilliant colors of many insects arise from the interference of incident light with complex nanostructured biomaterials that are present in their cuticle. Here, the rainbow-colored spots on the elytra of a snout weevil, Pachyrrhynchus congestus pavonius (Coleoptera: Curculionidae), are investigated using synchrotron small-angle X-ray scattering, scanning electron microscopy, microspectrophotometry, and photonic bandgap modeling. It is shown that the iridescent scales present in the rainbow-hued spots are due to a 3D photonic crystal network of chitin in air with a single diamond (Fd-3m) symmetry. In many insects, different orientations of photonic crystal domains are used to create various hues. In this weevil, however, both the chitin volume fractions as well as the lattice parameters of the biologically self-assembled single diamond nanostructure are varied to achieve the remarkable tuning of the structural colors across the visible light spectrum on a scale-by-scale basis. Uncovering the precise mechanism of color tuning employed by this weevil has important implications for further structural and developmental research on biophotonic nanostructures and may provide fresh impetus for bioinspired and biomimetic multifunctional applications, as synthesis of photonic crystals at visible length scales is currently challenging.",TRUE
A method for characterizing and mimicking forest canopy gaps caused by different disturbances,"Forest canopy gaps are measurable indicators of past small-scale disturbances. These disturbances can impact forest stand dynamics in ways that help maintain and enhance many ecosystem values. Impacts are commonly assessed using timber production metrics based on average stand values, but metrics based on smaller scales are needed to assess impacts on nontimber resources. In this study, we developed a multivariate method of quantitatively characterizing individual canopy gaps in Douglas-fir/grand fir stands in the Blue Mountains of eastern Oregon. We then established a reference or target range of variability by profiling gaps according to numbers of snags, downed logs, gap size and shape, and recolonizing vegetation. Cluster analysis, multidimensional scaling, and classification trees were used with these profiles to quantify similarity among individual gaps. Gaps fell into four groups, which could be interpreted as three ecologically functional groups on the basis of their role in stand development. Gaps caused by the same agents commonly fell within the same functional group: (1) flooding, logging, spruce budworm, and windfall cause stand level impacts that reset the stand development sequence; (2) bark beetles, tree fall, and root diseases cause within stand impacts that altered the rate of stand development; and (3) stem decay and dwarf mistletoe, and, under some circumstances, all disturbance agents, could kill trees yet have no impact on stand development except create space into which neighboring trees expand. We present a simple test to monitor how gaps change with silvicultural manipulations. Results indicate that this method offers (1) a way to systematically guide silvicultural manipulations aimed at mimicking natural disturbances at the canopy gap scale, and (2) a way to monitor the effectiveness of such silvicultural treatments and management actions using gap-based silviculture prescriptions.",TRUE
A new perspective on radiation resistance based on Deinococcus radiodurans,"In classical models of radiation toxicity, DNA is the molecule that is most affected by ionizing radiation (IR). However, recent data show that the amount of protein damage caused during irradiation of bacteria is better related to survival than to DNA damage. In this Opinion article, a new model is presented in which proteins are the most important target in the hierarchy of macromolecules affected by IR. A first line of defence against IR in extremely radiation-resistant bacteria might be the accumulation of manganese complexes, which can prevent the production of iron-dependent reactive oxygen species. This would allow an irradiated cell to protect sufficient enzymatic activity needed to repair DNA and survive.",TRUE
"A nocturnal mammal, the greater mouse-eared bat, calibrates a magnetic compass by the sun","Recent evidence suggests that bats can detect the geomagnetic field, but the way in which this is used by them for navigation to a home roost remains unresolved. The geomagnetic field may be used by animals both to indicate direction and to locate position. In birds, directional information appears to be derived from an interaction of the magnetic field with either the sun or the stars, with some evidence suggesting that sunset/sunrise provides the primary directional reference by which a magnetic compass is calibrated daily. We demonstrate that homing greater mouse-eared bats (Myotis myotis) calibrate a magnetic compass with sunset cues by testing their homing response after exposure to an altered magnetic field at and after sunset. Magnetic manipulation at sunset resulted in a counterclockwise shift in orientation compared with controls, consistent with sunset calibration of the magnetic field, whereas magnetic manipulation after sunset resulted in no change in orientation. Unlike in birds, however, the pattern of polarization was not necessary for the calibration. For animals that occupy ecological niches where the sunset is rarely observed, this is a surprising finding. Yet it may indicate the primacy of the sun as an absolute geographical reference not only for birds but also within other vertebrate taxa.",TRUE
A nonprotein thermal hysteresis-producing xylomannan antifreeze in the freeze-tolerant Alaskan beetle Upis ceramboides,"Thermal hysteresis (TH), a difference between the melting and freezing points of a solution that is indicative of the presence of large-molecular-mass antifreezes (e.g., antifreeze proteins), has been described in animals, plants, bacteria, and fungi. Although all previously described TH-producing biomolecules are proteins, most thermal hysteresis factors (THFs) have not yet been structurally characterized, and none have been characterized from a freeze-tolerant animal. We isolated a highly active THF from the freeze-tolerant beetle, Upis ceramboides, by means of ice affinity. Amino acid chromatographic analysis, polyacrylamide gel electrophoresis, UV-Vis spectrophotometry, and NMR spectroscopy indicated that the THF contained little or no protein, yet it produced 3.7 ± 0.3 °C of TH at 5 mg/ml, comparable to that of the most active insect antifreeze proteins. Compositional and structural analyses indicated that this antifreeze contains a β-mannopyranosyl-(1→4) β-xylopyranose backbone and a fatty acid component, although the lipid may not be covalently linked to the saccharide. Consistent with the proposed structure, treatment with endo-β-(1→4)xylanase ablated TH activity. This xylomannan is the first TH-producing antifreeze isolated from a freeze-tolerant animal and the first in a new class of highly active THFs that contain little or no protein.",TRUE
A novel marine silk,"The discovery of a novel silk production system in a marine amphipod provides insights into the wider potential of natural silks. The tube-building corophioid amphipod Crassicorophium bonellii produces from its legs fibrous, adhesive underwater threads that combine barnacle cement biology with aspects of spider silk thread extrusion spinning. We characterised the filamentous silk as a mixture of mucopolysaccharides and protein deriving from glands representing two distinct types. The carbohydrate and protein silk secretion is dominated by complex β-sheet structures and a high content of charged amino acid residues. The filamentous secretion product exits the gland through a pore near the tip of the secretory leg after having moved through a duct, which subdivides into several small ductules all terminating in a spindle-shaped chamber. This chamber communicates with the exterior and may be considered the silk reservoir and processing/mixing space, in which the silk is mechanically and potentially chemically altered and becomes fibrous. We assert that further study of this probably independently evolved, marine arthropod silk processing and secretion system can provide not only important insights into the more complex arachnid and insect silks but also into crustacean adhesion cements.",TRUE
A novel stiffening factor inducing the stiffest state of holothurian catch connective tissue,"SUMMARY The dermis of sea cucumbers is a catch connective tissue or mutable collagenous tissue that shows large changes in stiffness. Extensive studies on the dermis revealed that it can adopt three different states having different mechanical properties that can be reversibly converted. These are the stiff, standard and soft states. The standard state is readily produced when a dermal piece is immersed in the sea water containing Ca2+, whereas the soft state can be produced by removal of Ca2+. A stiffening protein, tensilin, has been isolated from some sea cucumbers (Cucumaria frondosa and Holothuria leucospilota). Although tensilin converts the state of the dermis from soft to standard, it cannot convert from standard to stiff. In this study, we isolated and partially purified a novel stiffening factor from the dermis of Holothuria leucospilota. The factor stiffened the dermis in normal artificial sea water (ASW) but did not stiffen the soft dermis in Ca2+-free ASW. It also stiffened the dermis that had been converted to the standard state in Ca2+-free ASW by the action of tensilin. These results suggest that the factor produces the stiff dermis from the standard state but cannot work as a stiffener on the soft dermis. Its addition to longitudinal muscles of the sea cucumber produced no effects, suggesting that its effect is specific to the catch connective tissue. Its stiffening activity was susceptible to trypsin, meaning that it is a polypeptide, and its molecular mass estimated from gel filtration chromatography was 2.4 kDa.",TRUE
A Passionate Free Climber: Structural Development and Functional Morphology of the Adhesive Tendrils in Passiflora discophora,"Premise of research. Passiflora discophora is exceptional among passion flowers for its climbing strategy, using branched tendrils with terminal adhesive pads instead of coiling tendrils as typical within this family. This article investigates the structural development and morphology of these adhesive pads and aims to understand the underlying structure-function relationship of the attachment process. Based on our results, we discuss possible mechanical consequences of the tendril structure and compare our findings with similar attachment systems in unrelated species in order to identify general strategies of this mode of attachment. Methodology. We investigated the temporal development of the attachment process, including detailed studies of the morphology and anatomy of the adhesive pads, using LM with different staining procedures and SEM. Pivotal results. Young tendrils establish initial contact with a supporting substrate by interlocking with their hook-shaped tips. Touch stimuli induce the tips to develop into adhesive pads by callus-like growth of papillate epidermal cells. Fully grown pads are hemispherical on flat substrates or completely fill out larger cavities of the substrate. By apical cell division, the pad tissue perfectly mimics the microtopography of the substrate and also grows into minute gaps and fissures, establishing firm anchorage by optimal form closure. Additionally, an extracellular substance is visible at the interface between pad and substrate surface, which might act as adhesive. Conclusions. The opportunistic growth and cellular structure make the tendrils and adhesive pads of P. discophora a highly adaptive attachment system. Comparison with other not closely related taxa reveals general principles of this climbing mode, namely, (1) branched tendrils with multiple adhesive pads, (2) papillate cells establishing optimal form closure with the substrate and in some species additionally secreting adhesive substances, (3) free coiling of axes, and (4) persisting anchorage after senescence.",TRUE
A poisonous surprise under the coat of the African crested rat,"Plant toxins are sequestered by many animals and the toxicity is frequently advertised by aposematic displays to deter potential predators. Such ‘unpalatability by appropriation’ is common in many invertebrate groups and also found in a few vertebrate groups. However, potentially lethal toxicity by acquisition has so far never been reported for a placental mammal. Here, we describe complex morphological structures and behaviours whereby the African crested rat, Lophiomys imhausi, acquires, dispenses and advertises deterrent toxin. Roots and bark of Acokanthera schimperi (Apocynaceae) trees are gnawed, masticated and slavered onto highly specialized hairs that wick up the compound, to be delivered whenever the animal is bitten or mouthed by a predator. The poison is a cardenolide, closely resembling ouabain, one of the active components in a traditional African arrow poison long celebrated for its power to kill elephants.",TRUE
A Predator from East Africa that Chooses Malaria Vectors as Preferred Prey,"Background All vectors of human malaria, a disease responsible for more than one million deaths per year, are female mosquitoes from the genus Anopheles. Evarcha culicivora is an East African jumping spider (Salticidae) that feeds indirectly on vertebrate blood by selecting blood-carrying female mosquitoes as preferred prey. Methodology/Principal Findings By testing with motionless lures made from mounting dead insects in lifelike posture on cork discs, we show that E. culicivora selects Anopheles mosquitoes in preference to other mosquitoes and that this predator can identify Anopheles by static appearance alone. Tests using active (grooming) virtual mosquitoes rendered in 3-D animation show that Anopheles' characteristic resting posture is an important prey-choice cue for E. culicivora. Expression of the spider's preference for Anopheles varies with the spider's size, varies with its prior feeding condition and is independent of the spider gaining a blood meal. Conclusions/Significance This is the first experimental study to show that a predator of any type actively chooses Anopheles as preferred prey, suggesting that specialized predators having a role in the biological control of disease vectors is a realistic possibility.",TRUE
A Role for Parasites in Stabilising the Fig-Pollinator Mutualism,"Mutualisms are interspecific interactions in which both players benefit. Explaining their maintenance is problematic, because cheaters should outcompete cooperative conspecifics, leading to mutualism instability. Monoecious figs (Ficus) are pollinated by host-specific wasps (Agaonidae), whose larvae gall ovules in their “fruits” (syconia). Female pollinating wasps oviposit directly into Ficus ovules from inside the receptive syconium. Across Ficus species, there is a widely documented segregation of pollinator galls in inner ovules and seeds in outer ovules. This pattern suggests that wasps avoid, or are prevented from ovipositing into, outer ovules, and this results in mutualism stability. However, the mechanisms preventing wasps from exploiting outer ovules remain unknown. We report that in Ficus rubiginosa, offspring in outer ovules are vulnerable to attack by parasitic wasps that oviposit from outside the syconium. Parasitism risk decreases towards the centre of the syconium, where inner ovules provide enemy-free space for pollinator offspring. We suggest that the resulting gradient in offspring viability is likely to contribute to selection on pollinators to avoid outer ovules, and by forcing wasps to focus on a subset of ovules, reduces their galling rates. This previously unidentified mechanism may therefore contribute to mutualism persistence independent of additional factors that invoke plant defences against pollinator oviposition, or physiological constraints on pollinators that prevent oviposition in all available ovules.",TRUE
A seismic monitoring approach to detect and quantify river sediment mobilization by steelhead redd‐building activity,"The role of spawning salmonids in altering river bed morphology and sediment transport is significant, yet poorly understood. This is due, in large part, to limitations in monitoring the redd‐build ...",TRUE
A single touch can provide sufficient mechanical stimulation to trigger Venus flytrap closure,"The carnivorous Venus flytrap catches prey by an ingenious snapping mechanism. Based on work over nearly 200 years, it has become generally accepted that two touches of the trap’s sensory hairs within 30 s, each one generating an action potential, are required to trigger closure of the trap. We developed an electromechanical model, which, however, suggests that under certain circumstances one touch is sufficient to generate two action potentials. Using a force-sensing microrobotic system, we precisely quantified the sensory-hair deflection parameters necessary to trigger trap closure and correlated them with the elicited action potentials in vivo. Our results confirm the model’s predictions, suggesting that the Venus flytrap may be adapted to a wider range of prey movements than previously assumed.",TRUE
A small proportion of Talin molecules transmit forces at developing muscle attachments in vivo,"Cells in developing organisms are subjected to particular mechanical forces that shape tissues and instruct cell fate decisions. How these forces are sensed and transmitted at the molecular level is therefore an important question, one that has mainly been investigated in cultured cells in vitro. Here, we elucidate how mechanical forces are transmitted in an intact organism. We studied Drosophila muscle attachment sites, which experience high mechanical forces during development and require integrin-mediated adhesion for stable attachment to tendons. Therefore, we quantified molecular forces across the essential integrin-binding protein Talin, which links integrin to the actin cytoskeleton. Generating flies expressing 3 Förster resonance energy transfer (FRET)-based Talin tension sensors reporting different force levels between 1 and 11 piconewton (pN) enabled us to quantify physiologically relevant molecular forces. By measuring primary Drosophila muscle cells, we demonstrate that Drosophila Talin experiences mechanical forces in cell culture that are similar to those previously reported for Talin in mammalian cell lines. However, in vivo force measurements at developing flight muscle attachment sites revealed that average forces across Talin are comparatively low and decrease even further while attachments mature and tissue-level tension remains high. Concomitantly, the Talin concentration at attachment sites increases 5-fold as quantified by fluorescence correlation spectroscopy (FCS), suggesting that only a small proportion of Talin molecules are mechanically engaged at any given time. Reducing Talin levels at late stages of muscle development results in muscle–tendon rupture in the adult fly, likely as a result of active muscle contractions. We therefore propose that a large pool of adhesion molecules is required to share high tissue forces. As a result, less than 15% of the molecules experience detectable forces at developing muscle attachment sites at the same time. Our findings define an important new concept of how cells can adapt to changes in tissue mechanics to prevent mechanical failure in vivo.",TRUE
"A specialized avian seed dispersal system in a dry-fruited non-photosynthetic plant, Balanophora yakushimensis.","The family Balanophoraceae are among the most unusual of plants because they have aberrant vegetative bodies, highly reduced flowers, and small and reduced embryos (Hansen 1972, Gonzalez et al. 2019). Because the plants lack chlorophyll and are incapable of photosynthesis, they draw nutrition from other organisms. Indeed, like the well-known parasitic plant, Rafflesia, members of the Balanophoraceae acquire both water and nutrients from host plants. They are, therefore, highly specialized root parasites.",TRUE
